galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3005073,3005146,-1,3002326,63000100000841,63000100000841,3000000,3005074,-1,0,63,0.0,22.635271,5993,8.661295,31.354269,23.122208,82724,0,3,2,99.20672,2.5392146,50.67754,279,22.635271,0.09910792,99.10799,122.42531,0.2844904,0.8503699,0.028000347,0.44467527,1.8658006,2.5439207E-4,0.0061590387,0.009574567,1.21256686E-4,0.0049910895,0.019935453,0.3941898,0.0,42.590233,0.0088225035,0.074580684,-19.263704,-19.896345,-20.503078,-21.043669,-22.50097,-14.785865,-15.5692625,-16.238708,-16.779793,-18.094828,-19.032839,-19.721373,-20.365252,-20.9438,-22.471163,7.0638604,613
3005074,3005146,3005073,3002327,62000100000849,62000100000849,3000000,3005075,-1,0,62,0.019932542,22.377075,5993,8.641105,31.354408,23.113958,82724,0,3,2,93.85064,19.27813,53.110348,278,22.377075,0.09823283,98.97906,126.07801,0.27637935,0.84604895,0.028000347,0.30981892,1.9724897,2.5438477E-4,0.0061610974,0.009479617,1.21256686E-4,0.0037964291,0.020995593,0.49083546,0.0,42.346466,0.008167462,0.063826054,-19.339169,-19.956123,-20.554605,-21.088907,-22.538355,-14.810538,-15.592532,-16.260862,-16.800962,-18.114706,-19.067846,-19.741652,-20.382797,-20.96342,-22.500704,6.8358436,705
3005075,3005146,3005074,3002328,61000100000850,61000100000850,3000000,3005076,-1,0,61,0.041403063,22.291008,5993,8.624125,31.344944,23.10246,82724,0,3,2,85.01486,41.257492,56.26866,283,22.291008,0.09756182,99.12766,121.74237,0.295814,0.840415,0.028000347,0.18185106,2.0753052,2.543798E-4,0.006497943,0.009354823,1.21256686E-4,0.0024167611,0.021866681,0.5617173,0.0,41.949425,0.008473834,0.049046967,-19.397005,-20.006779,-20.600254,-21.129316,-22.57333,-14.8372555,-15.617623,-16.28469,-16.823683,-18.135986,-19.078062,-19.767727,-20.411392,-20.99054,-22.528906,6.6048603,196
3005076,3005146,3005075,3002329,60000000000934,60000000000934,3000000,3005077,-1,0,60,0.064493395,22.291008,5993,8.607827,31.335257,23.090315,82724,0,3,2,76.47321,64.28407,57.929142,296,22.291008,0.09696436,99.432594,123.92674,0.33786368,0.8336869,0.028000347,0.044959363,2.1802616,2.5437746E-4,0.007091347,0.009210376,1.21256686E-4,0.0012346852,0.022245692,0.3420842,0.0,40.983604,0.0117209125,0.03079839,-19.379824,-20.01929,-20.618624,-21.146643,-22.590874,-14.866374,-15.644815,-16.310432,-16.848146,-18.158777,-19.241203,-19.909138,-20.53027,-21.082188,-22.571558,6.369104,576
3005077,3005146,3005076,3002330,59000000000946,59000000000946,3000000,3005078,-1,0,59,0.08928783,22.118877,5993,8.586931,31.321362,23.07599,82724,0,3,2,66.71955,86.95881,60.778744,291,22.118877,0.096061856,99.51213,126.829666,0.36779246,0.82942647,0.028000347,0.008593087,2.3605607,2.5437688E-4,0.0074827867,0.009122423,1.21256686E-4,9.7872E-5,0.022854777,0.7995559,0.0,0.0,0.00896985,0.010223169,-19.621956,-20.18553,-20.752874,-21.261374,-22.683506,-14.897509,-15.673825,-16.337852,-16.874155,-18.182941,-19.364546,-19.98059,-20.58795,-21.140375,-22.646553,6.101703,399
3005078,3005146,3005077,3002331,58000000000921,58000000000921,3000000,3005079,-1,0,58,0.11588337,22.721336,5993,8.570742,31.296541,23.063406,82724,0,3,2,51.986965,120.32471,62.355286,292,22.721336,0.09620691,100.78218,125.35925,0.4414952,0.81910443,0.028000347,0.0110230595,2.456167,2.5437688E-4,0.008389843,0.008919905,1.21256686E-4,1.1839012E-4,0.023422236,0.6212031,0.0,0.0,0.012010911,0.010912317,-19.65065,-20.227926,-20.794512,-21.29834,-22.71772,-14.93107,-15.705011,-16.367306,-16.902079,-18.209341,-19.457954,-20.084583,-20.680096,-21.21259,-22.6878,5.8662825,330
3005079,3005146,3005078,3002332,57000000000939,57000000000939,3000000,3005080,-1,0,57,0.14438343,22.291008,5993,8.55607,31.256138,23.048393,82724,0,3,2,40.554996,143.39098,63.72028,299,22.291008,0.09481579,100.55287,116.219925,0.50066465,0.8108177,0.028000347,0.009956615,2.6246498,2.5437688E-4,0.009051169,0.0087665375,1.21256686E-4,1.0921148E-4,0.024834963,0.99628896,0.0,0.0,0.010692643,0.010480807,-19.868036,-20.388338,-20.925838,-21.41116,-22.806896,-14.967724,-15.739088,-16.399574,-16.93279,-18.239008,-19.683908,-20.24079,-20.80665,-21.32346,-22.779861,5.6039424,507
3005080,3005146,3005079,3002333,56000000000934,56000000000934,3000000,3005081,-1,0,56,0.17489761,22.893469,3126,8.546077,31.210163,23.02177,26550,0,3,2,28.95469,166.94092,66.2448,300,22.893469,0.094805375,101.90824,116.59932,0.5984149,0.79712796,0.028000347,0.009346237,2.7248647,2.5437688E-4,0.010034174,0.008528735,1.21256686E-4,1.01611025E-4,0.025386468,1.310342,0.0,0.0,0.010843939,0.009603857,-20.053097,-20.525219,-21.034384,-21.502619,-22.87583,-15.0067425,-15.775215,-16.433653,-16.965014,-18.269997,-19.803267,-20.33037,-20.875834,-21.382849,-22.834442,5.3669844,11
3005081,3005146,3005080,3002334,55000000000883,55000000000883,3000000,3005082,-1,0,55,0.20754863,22.377075,3126,8.5412445,31.156466,23.000572,26550,0,3,2,11.161855,195.71806,67.16887,293,22.377075,0.09316235,101.6369,122.09923,0.7304532,0.77863604,0.028000347,0.0016705736,2.7738965,2.5437688E-4,0.011178531,0.008233332,1.21256686E-4,1.7779828E-5,0.02532226,2.432645,0.0,0.0,0.008778578,0.0035813847,-20.321838,-20.708036,-21.171421,-21.611668,-22.93462,-15.047018,-15.812098,-16.468088,-16.997253,-18.300442,-19.911333,-20.381657,-20.900566,-21.401903,-22.85524,5.1510735,509
3005082,3005146,3005081,3002335,54000000000686,54000000000686,3000000,3005083,-1,0,54,0.24246909,22.721336,3126,8.533827,31.09247,22.979603,26550,0,3,2,-3.6713219,220.17296,69.20352,314,22.721336,0.09262904,102.71014,126.643906,0.9805518,0.7434822,0.028000347,0.0,2.5309448,2.5437624E-4,0.012888469,0.007737195,1.21256686E-4,0.0,0.022168668,3.0474718,0.0,0.0,0.009807014,0.09262904,-20.442646,-20.782385,-21.217993,-21.641285,-22.939484,-15.08919,-15.850338,-16.503397,-17.02991,-18.330545,-20.083256,-20.49863,-20.984064,-21.460928,-22.871767,5.03862,38
