galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
1000020000000,1000020002324,-1,1000020000035,63000100000090,63000100000090,1000020000000,1000020000001,-1,0,63,0.0,5010.743,11687,61.982143,57.025124,6.3767953,112505,6,6,0,-175.85284,104.58075,-92.72623,78803,5010.743,0.59953403,599.5344,634.3811,0.26103744,30.739763,30.719269,657.4722,0.0,0.0739578,0.0050201504,0.3593854,0.35903615,6.4699907,0.0,0.0,0.0,0.0,0.038107447,0.05430186,-21.977976,-22.867348,-23.598557,-24.224602,-25.768812,-21.971441,-22.86214,-23.594076,-24.220648,-25.765108,-21.977922,-22.867313,-23.598532,-24.224586,-25.768808,11.498213,63
1000020000001,1000020002324,1000020000000,1000020000036,62000100000086,62000100000086,1000020000000,1000020000002,-1,0,62,0.019932542,4990.26,11687,62.020794,57.00496,6.3880677,112505,6,6,0,-176.73352,109.70833,-92.44963,75852,4990.26,0.5957032,600.22845,635.9005,0.26103744,30.739763,30.719269,655.74457,0.0,0.07372322,0.0050201504,0.3593854,0.35903615,6.4498053,0.0,0.0,0.0,0.0,0.041862246,0.054094717,-22.006529,-22.892673,-23.621855,-24.246002,-25.787558,-21.998228,-22.886715,-23.617092,-24.242035,-25.784245,-22.006474,-22.89264,-23.621834,-24.245989,-25.787554,11.234777,189
1000020000002,1000020002324,1000020000001,1000020000037,61000100000084,61000100000084,1000020000000,1000020000003,-1,0,61,0.041403063,4819.5913,11687,62.060143,56.984867,6.394279,112505,6,6,0,-176.40862,117.666016,-95.49002,72391,4819.5913,0.5855627,594.9608,637.51953,0.26103744,30.739763,30.719269,631.2808,0.0,0.07347817,0.0050201504,0.3593854,0.35903615,6.357519,0.0,0.07425782,1.7616124E-8,0.0,0.052228298,0.054233808,-22.03988,-22.92117,-23.647646,-24.269485,-25.808065,-22.027508,-22.913229,-23.641693,-24.264666,-25.804127,-22.03983,-22.92114,-23.647629,-24.269476,-25.808062,10.958921,691
1000020000003,1000020002283,1000020000002,1000020000038,60000100000082,60000100000082,1000020000000,1000020000004,1000020002284,0,60,0.064493395,4712.0093,11687,62.100105,56.957,6.416836,112505,6,6,0,-172.6164,117.66091,-89.03051,70504,4712.0093,0.57761383,592.3171,641.07916,0.24939081,30.711252,30.691647,611.7758,0.0,0.072989695,0.004773823,0.3592067,0.3588744,6.3428226,0.0,0.12672481,1.4818222E-6,0.0,0.058810487,0.05460338,-22.080574,-22.954168,-23.676992,-24.296072,-25.831902,-22.060438,-22.942844,-23.669153,-24.290031,-25.827435,-22.08051,-22.954138,-23.676975,-24.296062,-25.8319,10.670843,148
1000020000004,1000020002245,1000020000003,1000020000039,59000100000082,59000100000082,1000020000000,1000020000005,1000020002246,0,59,0.08928783,4701.6816,11687,62.143982,56.93215,6.432383,112505,6,6,0,-171.20918,117.60348,-88.32397,67824,4701.6816,0.57329875,593.8901,636.42645,0.21735011,30.645977,30.627949,697.7788,0.0,0.0723278,0.0042587253,0.3587071,0.35840452,3.4481184,0.0,1.1496367,7.034166E-7,0.0,0.06796603,0.049835183,-22.14872,-22.997322,-23.711142,-24.3246,-25.853218,-22.093998,-22.970392,-23.693298,-24.311361,-25.844795,-22.148607,-22.997276,-23.711117,-24.324587,-25.853214,10.373834,294
1000020000005,1000020002138,1000020000004,1000020000040,58000100000079,58000100000079,1000020000000,1000020000006,1000020002139,0,58,0.11588337,4731.116,11687,62.187916,56.898613,6.462733,112505,6,6,0,-161.40617,112.22963,-81.33153,66613,4731.116,0.5702293,597.3475,634.6408,0.1731444,29.038767,29.03558,700.5708,0.0,0.07022885,0.003068686,0.34045413,0.34040105,3.4414377,0.0,0.0,0.0,0.0,0.069061436,0.04947547,-22.088188,-22.951712,-23.66849,-24.282486,-25.81115,-22.084967,-22.949862,-23.667204,-24.281492,-25.81042,-22.088184,-22.95171,-23.66849,-24.282486,-25.81115,10.082118,510
1000020000006,1000020002138,1000020000005,1000020000041,57000100000074,57000100000074,1000020000000,1000020000007,-1,0,57,0.14438343,4979.3296,11687,62.23741,56.868557,6.492425,112505,6,6,0,-151.84799,110.35822,-83.930145,66013,4979.3296,0.57530004,610.1101,637.02655,0.1731444,29.038767,29.03558,743.1638,0.0,0.06991202,0.003068686,0.34045413,0.34040105,3.4183085,0.0,4.3747187,4.142776,0.0,0.06882366,0.04878345,-22.202642,-23.019655,-23.721237,-24.326979,-25.84638,-22.167395,-23.00229,-23.708399,-24.316244,-25.838202,-22.202507,-23.019598,-23.7212,-24.326954,-25.846373,9.761521,628
1000020000007,1000020001512,1000020000006,1000020000042,56000100000044,56000100000044,1000020000000,1000020000008,1000020001513,0,56,0.17489761,5183.8213,11687,62.291508,56.839386,6.514967,112505,6,6,0,-138.16757,109.14469,-88.702385,65513,5183.8213,0.5778464,621.139,643.2887,0.2904241,21.899124,21.597431,776.49396,0.0,0.051843412,0.0060651507,0.25726584,0.2507064,3.3956013,0.0,0.34190997,2.8426595E-5,0.0,0.067403704,0.04809414,-21.818283,-22.682867,-23.399683,-24.012735,-25.540854,-21.766161,-22.643011,-23.36459,-23.979834,-25.507475,-21.818113,-22.682758,-23.399607,-24.012684,-25.540838,9.556576,923
1000020000008,1000020001454,1000020000007,1000020000043,55000100000041,55000100000041,1000020000000,1000020000009,1000020001455,0,55,0.20754863,5252.1577,11687,62.331833,56.804333,6.5457935,112505,6,6,0,-117.39045,110.40278,-86.15728,65011,5252.1577,0.5746701,626.9452,655.3125,0.21577846,21.74247,21.4456,787.6338,0.0,0.051377427,0.0051070927,0.25614688,0.24969375,3.3865237,0.0,0.21254648,0.0,0.0,0.066356964,0.0475914,-21.843159,-22.706167,-23.421045,-24.032001,-25.558046,-21.792881,-22.666622,-23.385975,-23.999193,-25.524797,-21.843012,-22.706072,-23.420977,-24.031954,-25.558033,9.22434,673
1000020000009,1000020001380,1000020000008,1000020000044,54000100000000,54000100000000,1000020000000,1000020000010,1000020001381,0,54,0.24246909,5230.8994,11687,62.353935,56.750782,6.5833883,112505,6,6,0,-113.90471,104.096794,-87.01159,66077,5230.8994,0.5677119,629.4977,672.60156,0.1332233,21.64501,21.351213,783.51636,0.0,0.050553657,0.0043312195,0.25559837,0.24921846,3.370676,0.0,0.0,0.0,0.0,0.07225392,0.047183942,-21.874224,-22.735168,-23.447344,-24.05586,-25.57962,-21.825405,-22.695494,-23.412294,-24.023235,-25.546444,-21.87409,-22.735079,-23.447279,-24.055817,-25.579609,8.878592,621
1000020000010,1000020001380,1000020000009,1000020000045,53000100000000,53000100000000,1000020000000,1000020000011,-1,0,53,0.2798018,5238.387,11687,62.37326,56.703686,6.636332,112505,6,6,0,-110.67664,100.61169,-94.46918,65036,5238.387,0.5612859,633.5439,647.9141,0.1332233,21.64501,21.351213,787.1188,0.0,0.050127603,0.0043312195,0.25559837,0.24921846,3.290278,0.0,2.341642,7.410128E-7,0.0,0.06971815,0.046636768,-21.959324,-22.792578,-23.494429,-24.09754,-25.615171,-21.866346,-22.731987,-23.445768,-24.053934,-25.573614,-21.959034,-22.792421,-23.494328,-24.097471,-25.61515,8.524026,688
1000020000011,1000020001233,1000020000010,1000020000046,52000100000000,52000100000000,1000020000000,1000020000012,1000020001234,0,52,0.31970343,5181.0674,11687,62.40908,56.684746,6.6697454,112505,6,6,0,-95.26127,89.12332,-98.25604,62962,5181.0674,0.55202335,635.3322,637.7063,0.13932444,18.546461,18.287832,774.09454,0.0,0.04427426,0.0030905942,0.21928096,0.21393636,3.2636914,0.0,0.0,0.0,0.0,0.066112556,0.046140723,-21.775017,-22.631916,-23.340014,-23.943707,-25.460443,-21.734344,-22.595446,-23.306149,-23.91147,-25.427301,-21.774939,-22.631859,-23.33997,-23.943676,-25.460436,8.233767,813
1000020000012,1000020001233,1000020000011,1000020000047,51000100000044,51000100000044,1000020000000,1000020000013,-1,0,51,0.36234027,5151.7188,11687,62.441956,56.661736,6.6986575,112505,6,6,0,-65.032555,72.9429,-105.650154,58617,5151.7188,0.5432282,638.6382,649.843,0.13932444,18.546461,18.287832,776.70245,0.0,0.043803986,0.0030905942,0.21928096,0.21393636,3.0666447,0.0,0.0,0.0,0.0,0.061974797,0.04544688,-21.83329,-22.678656,-23.380537,-23.979715,-25.490976,-21.779621,-22.635603,-23.342863,-23.94502,-25.45654,-21.833174,-22.678577,-23.380482,-23.97968,-25.490967,7.8674927,919
1000020000013,1000020001233,1000020000012,1000020000048,50000100000000,50000100000000,1000020000000,1000020000014,-1,0,50,0.40789944,4988.9688,11687,62.449,56.656815,6.711164,112505,6,6,0,-68.788475,76.51055,-106.26541,59595,4988.9688,0.5292076,636.7403,688.708,0.13932444,18.546461,18.287832,751.7651,0.0,0.042881876,0.0030905942,0.21928096,0.21393636,3.0377595,0.0,1.3561369,4.3964346E-7,0.0,0.06003876,0.045006227,-21.924274,-22.743174,-23.433922,-24.02668,-25.530426,-21.82895,-22.679869,-23.383808,-23.983038,-25.490938,-21.92406,-22.743055,-23.433844,-24.02663,-25.530413,7.496896,964
1000020000014,1000020001113,1000020000013,1000020000049,49000100000000,49000100000000,1000020000000,1000020000015,1000020001114,0,49,0.45657724,4725.0054,11687,62.42113,56.665405,6.7206955,112505,6,6,0,-71.65721,90.23555,-104.42341,59438,4725.0054,0.5110393,630.58545,665.4281,0.08858546,15.821452,15.583918,704.1191,0.0,0.037344802,0.0022384252,0.18758002,0.18288329,3.0072136,0.0,2.0389004,0.011101052,0.0,0.054705687,0.04448639,-22.234991,-22.856264,-23.506874,-24.087067,-25.574572,-21.70966,-22.554642,-23.255125,-23.851358,-25.355795,-22.231781,-22.854588,-23.50568,-24.08615,-25.574163,7.152182,813
1000020000015,1000020001045,1000020000014,1000020000050,48000100000000,48000100000000,1000020000000,1000020000016,1000020001046,0,48,0.5085914,4423.087,11686,62.435596,56.58471,6.809665,112491,6,6,0,-66.503456,93.94129,-107.953224,58330,4423.087,0.49086618,622.5169,624.2471,0.24489819,13.263425,13.057602,652.5642,0.0,0.034998994,0.0049328012,0.1553974,0.15131517,2.9790297,0.0,0.57064265,1.9467517E-8,0.0,0.050162986,0.04429014,-21.62053,-22.44786,-23.139772,-23.729897,-25.227743,-21.565554,-22.4048,-23.101978,-23.694672,-25.193201,-21.620256,-22.447683,-23.139647,-23.72981,-25.227718,6.885864,628
1000020000016,1000020000950,1000020000015,1000020000051,47000100000000,47000100000000,1000020000000,1000020000017,1000020000951,0,47,0.5641766,4408.886,11686,62.49897,56.501617,6.906341,112495,6,6,0,-58.395264,93.96796,-122.770935,54766,4408.886,0.48072827,628.0361,608.58734,0.26942286,12.96891,12.772032,673.6795,0.0,0.034277074,0.004855679,0.15289967,0.14898576,2.1944168,0.0,0.26445243,6.1403983E-4,0.0,0.040340092,0.042548105,-21.654396,-22.475597,-23.163967,-23.75109,-25.246836,-21.596163,-22.431116,-23.125065,-23.714987,-25.211905,-21.654032,-22.475367,-23.163803,-23.750978,-25.246805,6.508399,153
1000020000017,1000020000906,1000020000016,1000020000052,46000100000000,46000100000000,1000020000000,1000020000018,1000020000907,0,46,0.6235901,4826.821,4697,0.076624796,56.439163,6.9900966,75046,0,6,0,-67.61159,90.50528,-110.0436,53382,4826.821,0.48496744,654.2508,624.843,0.19239767,12.935233,12.742486,744.2099,0.0,0.03368739,0.0043448727,0.15272509,0.14888595,2.1841161,0.0,0.4888145,3.7765992E-4,0.0,0.033837758,0.041542858,-21.710978,-22.526821,-23.210691,-23.793146,-25.283615,-21.651012,-22.480885,-23.170664,-23.756147,-25.248035,-21.710384,-22.526443,-23.210424,-23.792965,-25.283566,6.1364493,176
