haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
2002089,63000000003238,2002119,2000000,63,0.0,2002090,-1,-1,2002089,-1,23,2.4959044,1.8934448,2.2377074,2523,26.794846,29.061079,9.369271,16015,3,3,1,338.27917,-256.70178,-51.05339,27.17725,63.872097,-0.032616515,0.011917778,-0.06915042,1462649,0,3238,0.012403948,612
2002090,62000000003191,2002119,2000000,62,0.019932542,2002091,-1,2002089,2002090,-1,24,2.2377074,1.8073791,1.9795104,2523,26.728294,29.114267,9.383754,16015,2,3,1,328.9917,-281.4834,-49.31154,24.05978,57.90478,0.044998698,-0.016144909,-0.21157515,1462649,0,3191,0.014827159,520
2002091,61000000000964,2002119,2000000,61,0.041403063,2002092,-1,2002090,2002122,-1,23,0.0,0.0,0.0,2523,26.657667,29.181303,9.396706,16015,2,3,1,309.83942,-313.9596,-47.796993,22.453167,52.891254,0.06902941,0.013257457,-0.06420467,1462649,0,964,0.01823894,619
2002092,60000000003640,2002119,2000000,60,0.064493395,2002093,-1,2002091,2002092,-1,22,2.4959044,1.8073791,2.065576,2523,26.585033,29.2611,9.407496,16015,2,3,1,291.1108,-345.02362,-45.028427,21.92268,55.822693,0.018984055,0.07573872,-0.050045595,1462649,0,3640,0.01933975,935
2002093,59000000001474,2002119,2000000,59,0.08928783,2002094,-1,2002092,2002093,-1,23,2.7541015,1.8934448,2.2377074,2522,26.51302,29.349024,9.419832,16029,2,3,1,266.5209,-378.43854,-42.185947,20.043259,47.20732,0.05382392,0.018075509,-0.07051262,1464350,0,1474,0.020533316,865
2002094,58000000002445,2002119,2000000,58,0.11588337,2002095,-1,2002093,2002094,-1,24,2.5819702,2.065576,2.4098387,2522,26.462376,29.446276,9.4237175,16029,2,3,1,224183,-424.56412,-28.04741,22.494862,53.349392,0.08563243,0.0137975495,-0.09334362,1464350,0,2445,0.016906522,413
2002095,57000000003124,2002119,2000000,57,0.14438343,2002096,-1,2002094,2002095,-1,25,2.6680357,2.1516418,2.2377074,2522,26.398075,29.564966,9.429124,16029,2,3,1,193.21475,-456.27274,-13.731762,27.033749,60.921825,0.048246935,0.08095172,-0.025346795,1462648,0,3124,0.016562805,494
2002096,56000000003051,2002119,2000000,56,0.17489761,2002097,-1,2002095,2002096,-1,25,2.840167,1.9795104,2.1516418,2522,26.351866,29.699686,9.43274,16028,2,3,1,153.53415,-493.94797,2.0196152,32.917637,67.29117,0.069558404,0.083427764,-0.024477042,1462541,0,3051,0.010676863,285
2002097,55000000003352,2002119,2000000,55,0.20754863,2002098,-1,2002096,2002097,-1,25,2.4959044,2.1516418,2.2377074,2522,26.316504,29.845675,9.421606,16028,2,3,1,92.68822,-538.25867,37.335854,27.577976,62.005524,0.040191878,0.09147689,-0.024688577,1462622,0,3352,0.014483593,339
2002098,54000000003013,2002119,2000000,54,0.24246909,2002099,-1,2002097,2002098,-1,27,2.5819702,2.2377074,2.3237731,2522,26.293312,30.022362,9.404668,16028,2,3,1,26.763672,-579.9655,76.88837,24.723715,55.20839,-0.008609545,0.1137361,-0.010154376,1462622,0,3013,0.01700152,215
