galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
4000015000000,4000015001132,-1,4000015000000,63000400000064,63000400000064,4000015000000,4000015000001,-1,0,63,0.0,2940.0894,20426,62.142197,24.71243,57.591396,196203,6,2,6,-219.28885,-84.365364,127.15834,39550,2940.0894,0.5019186,501.91895,596.9449,0.198966,16.278114,8.943276,465.79028,9.8136015E-6,0.032081265,0.0035298911,0.16633847,0.09010866,1.1508774,3.033948E-8,0.18223028,0.0,0.0,0.028833844,0.04718018,-21.288187,-22.168207,-22.895926,-23.517714,-25.045223,-20.623423,-21.50056,-22.22579,-22.841309,-24.351606,-21.28468,-22.165306,-22.89357,-23.51599,-25.044708,11.997957,671
4000015000001,4000015001093,4000015000000,4000015000001,62000400000068,62000400000068,4000015000000,4000015000002,4000015001094,0,62,0.019932542,2922.704,20426,62.183495,24.728077,57.562016,196203,6,2,6,-219.63283,-85.058716,125.89475,39395,2922.704,0.49840665,502.1928,605.1089,0.11675864,16.266638,8.933797,462.93753,1.083005E-5,0.031929363,0.003301342,0.16628736,0.09009199,1.1496619,3.3481903E-8,0.0,0.0,0.0,0.028003607,0.047046635,-21.306124,-22.188154,-22.91583,-23.536856,-25.063517,-20.644587,-21.520824,-22.245312,-22.860088,-24.36964,-21.301552,-22.184359,-22.912748,-23.534597,-25.062843,11.736837,716
4000015000002,4000015001093,4000015000001,4000015000002,61000400000066,61000400000066,4000015000000,4000015000003,-1,0,61,0.041403063,2925.9746,20426,62.229843,24.742844,57.537266,196203,6,2,6,-221.5814,-85.714485,125.674095,38980,2925.9746,0.4958232,503.78104,606.4668,0.11675864,16.266638,8.933797,463.71204,1.2017046E-5,0.031801816,0.003301342,0.16628736,0.09009199,1.1475071,3.715158E-8,0.2326232,4.369627E-7,0.0,0.027794875,0.046873067,-21.342543,-22.217419,-22.941927,-23.560535,-25.084122,-20.669607,-21.544434,-22.267855,-22.881512,-24.389544,-21.337843,-22.213543,-22.938786,-23.558237,-25.083437,11.460984,14
4000015000003,4000015001046,4000015000002,4000015000003,60000400000044,60000400000044,4000015000000,4000015000004,4000015001047,0,60,0.064493395,2954.6345,20426,62.27389,24.768085,57.51202,196203,6,2,6,-222.05357,-86.419624,123.60773,38643,2954.6345,0.49439055,506.97528,607.3776,0.058892794,16.025629,8.695576,468.59344,1.3406986E-5,0.031163746,0.0019456784,0.16448921,0.08836956,1.1467896,4.144868E-8,0.09299963,1.1564881E-8,0.0,0.027073441,0.046654835,-21.348377,-22.224426,-22.948355,-23.565844,-25.088196,-20.662983,-21.537111,-22.259827,-22.87296,-24.38123,-21.344963,-22.221605,-22.94607,-23.564173,-25.0877,11.173107,533
4000015000004,4000015001000,4000015000003,4000015000004,59000400000044,59000400000044,4000015000000,4000015000005,4000015001001,0,59,0.08928783,2994.483,20426,62.32492,24.78922,57.482933,196203,6,2,6,-223.8603,-88.170364,122.96502,38369,2994.483,0.49325392,510.97025,607.45526,0.05433026,15.792207,8.46331,475.82953,1.5039096E-5,0.030993253,0.0017123782,0.16251619,0.08643374,1.1443112,4.649446E-8,0.6003328,0.0,0.0,0.026893726,0.046403605,-21.372538,-22.241552,-22.962002,-23.57674,-25.096273,-20.660563,-21.533075,-22.254503,-22.866354,-24.37323,-21.36971,-22.23923,-22.960125,-23.575369,-25.095867,10.867796,304
4000015000005,4000015000929,4000015000004,4000015000005,58000400000042,58000400000042,4000015000000,4000015000006,4000015000930,0,58,0.11588337,3026.2412,20426,62.385956,24.807945,57.448185,196203,6,2,6,-222.66078,-89.2638,120.13635,37813,3026.2412,0.4913182,514.6836,595.90265,0.07420199,14.167909,6.846763,481.54016,1.6961732E-5,0.029912358,0.0019532146,0.14301601,0.067146815,1.1422056,5.2438427E-8,0.0,0.0,0.0,0.026054215,0.046131834,-21.295002,-22.162619,-22.88064,-23.491072,-25.002275,-20.486502,-21.349756,-22.065722,-22.670326,-24.160484,-21.291666,-22.159859,-22.878403,-23.489437,-25.00179,10.521954,905
4000015000006,4000015000929,4000015000005,4000015000006,57000400000046,57000400000046,4000015000000,4000015000007,-1,0,57,0.14438343,3024.0034,20426,62.433826,24.839014,57.41929,196203,6,2,6,-225.10219,-89.58836,118.495674,37606,3024.0034,0.48718983,516.6685,594.48425,0.07420199,14.167909,6.846763,481.19,1.9234149E-5,0.029745223,0.0019532146,0.14301601,0.067146815,1.1414726,5.9463773E-8,0.02725266,9.671749E-9,0.0,0.026805636,0.04587994,-21.346264,-22.201002,-22.912756,-23.518919,-25.025301,-20.517841,-21.378622,-22.092764,-22.695389,-24.182577,-21.343061,-22.198374,-22.910633,-23.517372,-25.024841,10.2013645,675
4000015000007,4000015000893,4000015000006,4000015000007,56000400000045,56000400000045,4000015000000,4000015000008,4000015000894,0,56,0.17489761,3002.745,28727,0.010709556,24.862963,57.38545,158754,0,2,6,-220.50758,-92.11947,118.54772,37502,3002.745,0.48169103,517.7796,608.7465,0.055235907,14.153068,6.8322964,477.51666,2.1929105E-5,0.029565522,0.0017250122,0.14293942,0.06707998,1.1406802,6.779543E-8,0.0,0.0,0.0,0.025539597,0.045623276,-21.428911,-22.254257,-22.95352,-23.552826,-25.05139,-20.54797,-21.406149,-22.118366,-22.719011,-24.203575,-21.42523,-22.251295,-22.951147,-23.551102,-25.05088,9.871387,39
4000015000008,4000015000893,4000015000007,4000015000008,55000400000047,55000400000047,4000015000000,4000015000009,-1,0,55,0.20754863,2954.3762,28727,0.071740665,24.895067,57.3551,158754,0,2,6,-218.64581,-93.58601,117.09503,37004,2954.3762,0.47438172,517.534,618.8507,0.055235907,14.153068,6.8322964,469.72446,2.5136853E-5,0.029383508,0.0017250122,0.14293942,0.06707998,1.1348805,7.7712414E-8,4.676294,1.6466764E-4,0.0,0.025605027,0.04535547,-21.762943,-22.437515,-23.087402,-23.664001,-25.138369,-20.582926,-21.43794,-22.14789,-22.746265,-24.227833,-21.758574,-22.434244,-23.084854,-23.662176,-25.137838,9.532224,639
4000015000009,4000015000738,4000015000008,4000015000009,54000400000049,54000400000049,4000015000000,4000015000010,4000015000739,0,54,0.24246909,2899.122,28727,0.1349251,24.926584,57.325462,158754,0,2,6,-220.89209,-94.71926,118.49809,36694,2899.122,0.46632788,517.0798,615.6177,0.3830897,10.797593,3.5443966,460.17133,2.8969307E-5,0.023825878,0.0076209097,0.100950725,0.026647424,1.1220427,8.9560714E-8,0.0,0.0,0.0,0.024615405,0.045012176,-21.128962,-21.98443,-22.694323,-23.29372,-24.78091,-19.98917,-20.814903,-21.50822,-22.083357,-23.50158,-21.113764,-21.971703,-22.683935,-23.286072,-24.778605,9.23114,726
